"Our economy is NOT great" "{'economy': True, 'great': True}"
"This is a false choice sunlorrie Alberta s economy also depends upon understanding that fossil fuels are sunset industry Think typewriters The quicker Alberta transitions off high carbon energy the better for Alberta the rest of Canada and our fragile Mother the Earth" "{'false': True, 'choice': True, 'sunlorrie': True, 'alberta': True, 'economy': True, 'depend': True, 'understand': True, 'fossil': True, 'fuel': True, 'sunset': True, 'industry': True, 'typewriters': True, 'quicker': True, 'transition': True, 'high': True, 'carbon': True, 'energy': True, 'good': True, 'rest': True, 'canada': True, 'fragile': True, 'mother': True, 'earth': True}"
"Trump economy Down" "{'trump': True, 'economy': True}"
"Republicans make a mess of the economy Dems fix it Repubs take over and wreak economy to line wealthy pockets Over and over" "{'republican': True, 'make': True, 'mess': True, 'economy': True, 'dems': True, 'fix': True, 'repubs': True, 'wreak': True, 'line': True, 'wealthy': True, 'pocket': True}"
"Great Economy" "{'great': True, 'economy': True}"
"IDK our economy is doing better than yours esp minorities and women Rising wages lower unemployment Our taxes are lower than yours and before Trump no new wars Reducing illegal immigration and the costs that go with that Sounds like complete tragedy s" "{'idk': True, 'economy': True, 'good': True, 'esp': True, 'minority': True, 'woman': True, 'rise': True, 'wage': True, 'low': True, 'unemployment': True, 'tax': True, 'trump': True, 'war': True, 'reduce': True, 'illegal': True, 'immigration': True, 'cost': True, 'sound': True, 'complete': True, 'tragedy': True}"
"The Machinery Journal 155 Our Weekly Roundup of Recent Economic Highlights and Other Interesting News Items manufacturing equipment industrial economy" "{'machinery': True, 'journal': True, '155': True, 'weekly': True, 'roundup': True, 'recent': True, 'economic': True, 'highlight': True, 'interesting': True, 'news': True, 'item': True, 'manufacture': True, 'equipment': True, 'industrial': True, 'economy': True}"
"How is shutting down huge parts of their economy going to benefit them in a few weeks when they find a cure They are already pumping billions in liquidity to prop up their stock market Unless there is some unseen political angle it is what it looks like Virus out of control" "{'shut': True, 'huge': True, 'part': True, 'economy': True, 'benefit': True, 'week': True, 'find': True, 'cure': True, 'pump': True, 'billion': True, 'liquidity': True, 'prop': True, 'stock': True, 'market': True, 'unseen': True, 'political': True, 'angle': True, 'virus': True, 'control': True}"
"False Corporate tax laws are NOT the same as personal income tax law Corporates create jobs drive the economy You want to tax them to the ceiling so they slash jobs No jobs no life This is the most insane argument ever" "{'false': True, 'corporate': True, 'tax': True, 'law': True, 'personal': True, 'income': True, 'corporates': True, 'create': True, 'job': True, 'drive': True, 'economy': True, 'ceiling': True, 'slash': True, 'life': True, 'insane': True, 'argument': True}"
"Kill the planet and we won t have an economy to worry about" "{'kill': True, 'planet': True, 'win': True, 'economy': True, 'worry': True}"
"I m talking about economy as in inflation prices unemployment no jobs fee hike unaffordable education Can hardwork 1 treat diabetes or malaria 2 teach you surgery 3 get you a job or a loan Stop acting dumb Middle classes need good education healthcare and jobs" "{'talk': True, 'economy': True, 'inflation': True, 'price': True, 'unemployment': True, 'job': True, 'fee': True, 'hike': True, 'unaffordable': True, 'education': True, 'hardwork': True, '1': True, 'treat': True, 'diabetes': True, 'malaria': True, '2': True, 'teach': True, 'surgery': True, '3': True, 'loan': True, 'stop': True, 'act': True, 'dumb': True, 'middle': True, 'class': True, 'good': True, 'healthcare': True}"
"Not awesome I just know this is the best economy in my life So I will not argue against it" "{'awesome': True, 'economy': True, 'life': True, 'argue': True}"
"Tesla can get support for German factory Economy Minister" "{'tesla': True, 'support': True, 'german': True, 'factory': True, 'economy': True, 'minister': True}"
"Interesting he qualifies this with fiscal year 2021 budget They will wait until the 2022 budget And the BS about the Democrats destroying the economy A This isn t the greatest economy ever B Remember it was a Democrat who saved the economy after the Bush admin destroyed it" "{'interest': True, 'qualify': True, 'fiscal': True, 'year': True, '2021': True, 'budget': True, 'wait': True, '2022': True, 'democrat': True, 'destroy': True, 'economy': True, 'isn': True, 'great': True, 'remember': True, 'save': True, 'bush': True, 'admin': True}"
